conflict_id,contract_id,norm_id_1,norm_id_2,norm1,norm2,conf_type
1039,466,82524,83696,"To this end, subject to any confidentiality agreements Solectron may have, Solectron will both inform and provide a commercially reasonable opportunity for acquisition of new and emerging Solectron and industry technology.",Solectron can choose not to inform new industry technologies produced by them,2
1040,466,82758,83697,NCR shall pay the freight carrier directly.,NCR must pay the freight carrier making a back deposit,3
1041,466,83164,83698,Products should be appropriately labeled with the European CE mark and any country specific requirements.,Products may be labeled with the European CE mark but shall not have any labels from country specific requirements,2
1042,466,82857,83699,The Specifications may only be amended by the NCR design release process.,The Specifications shall not be amended by the NCR design release process,1
1043,467,83836,83935,Each certificate shall state that the insurance carrier will give Seller and Buyer at least thirty (30) days written notice of any cancellation or material change in the terms and conditions of such policy during the periods of coverage.,Certificates shall state that the insurance carrier must give Seller and Buyer at least thirty (15) days written notice of any cancellation or material change in the terms and conditions of such policy during the periods of coverage,3
1044,467,83737,83936,"Seller will engineer, permit, construct, finance, operate and maintain the Thermal Energy Production Facilities so as to produce and deliver Thermal Energy to Buyer at the agreed upon Points of Delivery.","Seller is not responsible for engineer, permit, construct, finance, operate and maintain the Thermal Energy Production Facilities",1
1045,467,83873,83937,"In addition, Seller agrees to file a vendor registration if it has not already done so.",Seller shall not file any vendor registration,2
1046,467,83779,83938,Seller shall use reasonable means to limit the duration of the outage and shall attempt to schedule chilled water outages during winter months and steam outages during summer 8 months.,Seller cannot make water outrages,2
1047,468,84238,84293,"NONSOLICITATION OF EMPLOYEES (A) During the term of this Agreement neither Motorola nor ASE shall solicit any employee of the other for employment, either directly through any of its employees, * .",Motorola can solicit any employee of the other for employment,2
1048,468,84034,84294,ASE shall establish a system to ensure all deliveries to be made on time.,ASE may deliver up to two hours after the stipulated time,2
1049,468,84061,84295,(B) ASE shall dispose of any Scrap in accordance with applicable laws and Motorola's written instructions.,ASE may dispose of any Scrap in accordance with applicable laws and Motorola's written instructions,1
1050,468,84027,84296,"The actual orders shall provide details regarding specific Contract Products, mix, * Certain information on this page has been omitted and filed separately with the Commission.","If the number of order is smaller than two, orders shall not provide details about Contract Products",4
1051,468,84062,84297,"Upon request, ASE shall ship all Scrap to Motorola separately from any of the Contract Products or Bailed Property in clearlymarked boxes so as to identify the items contained therein.",ASE shall ship all Scrap to Motorola along with the Contract Products or Bailed Property,3
1052,470,89640,89671,The terms of this Letter Agreement shall become effective immediately prior to the closing under the APA.,The terms of this Letter Agreement must not become effective immediately prior to the closing under the APA,1
1053,470,89638,89672,"All capitalized terms used but not otherwise defined herein shall have the same meanings as are ascribed thereto in the SPA or the IRA, as indicated below.","All capitalized terms used but not otherwise defined herein shall not have the same meanings as are ascribed thereto in the SPA or the IRA, as indicated below",1
1056,474,90191,90366,"All inquiries that Seller receives on a worldwide basis relative to Buyer's air chamber ""Products"" as specified in Exhibit III, shall be directed to Buyer.","All inquiries that Seller receives on a worldwide basis relative to Buyer's air chamber ""Products"" as specified in Exhibit III, must not be directed to Buyer.",1
1057,474,90233,90367,Seller shall not be responsible and shall not pay any taxes or charges as outlined in above levied after delivery to Buyer.,Seller shall pay all taxes during the delivery to Buyer.,2
1332,474,90191,90873,"All inquiries that Seller receives on a worldwide basis relative to Buyer's air chamber ""Products"" as specified in Exhibit III, shall be directed to Buyer.","Seller may not redirect inquires concerning Buyer's air chamber ""Products"".",2
1333,478,91263,91397,"Unless otherwise agreed in writing or as set forth in the Packaging Specification, all Products will be packed and shipped in accordance with Adaptec's normal practices.",A shipped product must be packed following Government practices.,3
1334,478,91226,91398,"Where applicable, Taxes shall appear as separate items on Adaptec's invoice.","If shipping products, the Taxes shall appear along the other items on Adaptec's invoice.",4
1335,478,91281,91399,This RMA number must be referenced on all paperwork and shipping containers with respect to the returned Product.,"If shipping less than three products, RMA number shall not be referenced on the paperwork and shipping containers.",4
1336,479,91420,92001,PAYMENT WILL BE MADE BY CODE See Article G.5.,A product payment can be performed using a transfer through bank accounts.,2
1337,479,91651,92002,A 3% annual allowance for salary increases will be allowed for each of the subsequent years of each task if applicable.,Salary shall not be increased by more than 2% a year.,2
1338,480,92039,92085,TEKNIKA shall pay to LSI the adjusted price for the Products within 15 business days of LSI's invoice for the Products.,TEKNIKA ought not pay to LSI the adjusted price for the Products.,1
1339,481,92115,92317,"Only in the case of mobile shredders shall Ifco make available crates for shredding at the agreedupon Ifco depot, as well as transporting the completed granulate at its own costs to the production shops of SWS.",Ifco shall provide crates for shredding along with all sold products.,4
1340,481,92103,92318,"As part of this contract, the crate types specified in greater detail in attachments 1 and 4 (designated in this contract as Ifco products) are to be produced and delivered by SWS to Ifco.",SWS must not produce crates.,2
1341,481,92282,92319,"Even after termination of the contract, SWS shall retain ownership rights of all molded shapes existing for the manufacture of Ifco products.",SWS must retain all ownership rights of all molded shapes for the manufacture of Ifco products.,3
1342,482,92370,92460,NOVOSTE has the right to supervise the agreed upon quality and shall be entitled to inspect the facility in which any part of the Product is been manufactured upon one (1) week's prior notice.,"Once signed, NOVOSTE shall not supervise the agreed upon quality.",2
1343,482,92395,92461,Surcharge: BEBIG will make a substantial investment in the Sr90 seed production line upon the execution of this Agreement to ensure continuous production for a period of four (4) years.,BEBIG shall not make a investments in any seed production line.,2
1344,482,92438,92462,"If such breach is not cured by reasonable measures by BEBIG within 90 days from the date of notice, then NOVOSTE may permit a third party manufacturer to utilize the said knowhow and intellectual property for the sole purpose of manufacturing product for NOVOSTE.",NOVOSTE must not allow a third party manufacturer to manufacture products to NOVOSTE.,4
1345,483,92501,92575,"ACTII shall be responsible for all applicable taxes, including personal property and sales taxes, excluding any income taxes owing by Janssen (or its Affiliate designee).",ACTII is intended to be responsible for all applicable taxes applicable to Janssen.,3
1346,483,92504,92576,"ACTII shall be responsible for the design, construction, equipment, validation and maintenance of the ACTII Facilities, including the Janssen Equipment.","Except for the Janssen Equipment, ACTII must be in charge of the all production processes involving ACTII Facilities.",4
1347,483,92523,92577,No material changes may be made to the Headcount Plan without the prior approval of the Global Supply Team.,Parties may perform changes on materials whenever they want.,2
1348,483,92522,92578,"The Global Supply Team shall periodically review and make any appropriate adjustments to the Headcount Plan, including both the Existing Headcount and the Incremental Headcount.","The Global Supply Team must not periodically review and make any appropriate adjustments to the Headcount Plan, including both the Existing Headcount and the Incremental Headcount.",1
1349,483,92475,92579,"Each Reconciliation Credit during the calendar year 2003 shall be equal to nine hundred seventeen thousand U.S. dollars ($917,000).","Reconciliations made in 2003 must be equal to one million U.S. dollars ($1,000,000).",3
1604,569,111015,111282,"In addition, Cubist will be consulted concerning any matters that could cause a delay in completion of the Facility.","In addition, Cubist may not be consulted concerning any matters that could cause a delay in completion of the Facility.",1
1605,569,111186,111283,Cubist may also terminate this Agreement in the event that the FDA refuses to approve the Product.,Cubist may not terminate terminate this Agreement even in the event that the FDA refuses to approve the Product.,1
1606,569,111074,111284,(b) Cubist shall not be required to pay DSM for any Product which has been property rejected in accordance with clause 3.11 sub (a).,(b) Cubist may be required to pay DSM for any Product which has been properly rejected in accordance with clause 3.11 sub (a).,1
1607,569,111104,111285,Cubist shall at all times upon reasonable notice and during normal business hours have the right to inspect the Facility to ascertain compliance with GMPs.,"Cubist may not be, at all times and upon reasonable notice and normal business hours, denied an inspection of the Facility to ascertain compliance with GMPs.",2
1608,571,111646,111735,"In March 2001, Celgene shall provide a firm order for Material for July through September, 2001 and a revised forecast for the months October, 2001 through June, 2002.","In March 2001, Celgene shall not provide a firm order for Material for July through September, 2001 and a revised forecast for the months October, 2001 through June, 2002.",1
1609,571,111672,111736,Celgene shall have the right to defend and/or settle any such claim and JMI shall give Celgene such information and assistance as may be reasonably necessary in the conduct of such defense.,Celgene shall not have the right to defend and/or settle any such claim and JMI shall not give Celgene such information and assistance as may be reasonably necessary in the conduct of such defense.,1
1610,571,111666,111737,"In the event that JMI fails to replace the Material or fails to do so within the time period stated, Celgene shall have the right to demand a credit of the purchase price therefor.","In the event that JMI fails to replace the Material or fails to do so within the time period stated, Celgene may have the right to demand a credit of the purchase price therefor.",1
1611,571,111655,111738,7.3 JMI will provide Celgene with the results of all assays required to be run under the Specifications.,7.3 JMI will not provide Celgene with the results of all assays required to be run under the Specifications.,1
1612,571,111673,111741,JMI shall have the right to participate in such defense at its cost.,JMI may have the right to participate in such defense at its cost.,1
1613,571,111688,111740,PAYMENT 10.1 Celgene will remit payment in U.S. dollars within thirty (30) days from the date of the invoice.,PAYMENT 10.1 Celgene will not remit payment in U.S. dollars within thirty (30) days from the date of the invoice.,1
1614,571,111673,111741,JMI shall have the right to participate in such defense at its cost.,JMI may have the right to participate in such defense at its cost.,1
1615,572,111939,111819,CoPacker will assume no costs of transportation and handling for such rejected Products.,CoPacker shall assume all costs of transportation and handling both ways for such rejected Products.,3
1616,572,111940,111777,"CoPacker shall label all Products using artwork, graphics, and label copy that WWI may furnish.","CoPacker shall label all Products using artwork, graphics, and label copy that WWI shall furnish.",1
1617,572,111941,111801,CoPacker may furnish to WWI insufficient information to verify shipment of the Products.,CoPacker shall furnish to WWI sufficient information to verify shipment of the Products.,1
1618,572,111771,111942,"CoPacker shall manufacture the Products at its processing facilities at Irwindale and Los Angeles, California or at such other facility as WWI and CoPacker shall mutually agree (the ""Factory"").","CoPacker shall manufacture the Products at its processing facilities at Irwindale and Los Angeles, Califronia or at such other facility as WWI and CoPacker may not mutually agree (the ""Factory"").",1
1620,574,112506,112593,Supplier will promptly notify Buyer in writing should there be any failure to adhere to the representations and warranties as stated herein.,Supplier will not promptly notify Buyer in writing should there be any failure to adhere to the representations and warranties as stated herein.,1
1621,574,112521,112594,Supplier will only deliver the Products specified in a WA.,Supplier will not only deliver the Products specified in a WA.,1
1622,574,112479,112595,"Supplier will not make any changes to the form, fit or function of the Products without Buyer's prior written consent, such consent not to be withheld unreasonably.","Supplier will make any changes to the form, fit or function of the Products without Buyer's prior written consent, such consent not to be withheld unreasonably.",1
1623,574,112515,112596,Supplier will commence such performance within five (5) calendar days of Buyer's written notice to Supplier of an Epidemic Defect Rate.,Supplier may commence such performance within five (5) calendar days of Buyer's written notice to Supplier of an Epidemic Defect Rate.,1
1624,574,112518,112597,Buyer may EXHIBIT 10.24 GOODS AGREEMENT cancel or reschedule the delivery date or change the delivery point as specified in the relevant SOW.,Buyer shall not EXHIBIT 10.24 GOODS AGREEMENT cancel or reschedule the delivery date or change the delivery point as specified in the relevant SOW.,1
1625,574,112482,112598,Supplier shall process WAs issued by Buyer and shall accept all WAs in Accordance with this Goods Agreement and the applicable SOW.,Supplier shall not WAs issued by Buyer and shall not accept all WAs in Accordance with this Goods Agreement and the applicable SOW.,1
1626,574,112520,112599,Buyer will use commercially reasonable efforts to issue a [*] rolling forecast for quantities of Products that may be required.,Buyer may use commercially reasonable efforts to issue a [*] rolling forecast for quantities of Products that may be required.,1
1627,577,112951,113188,Nephros and Medica shall at the time of each report determine jointly the actions to be taken with respect to these findings.,Medica may delete all records. Medica can deliver up to two days after the specified date in a purchase order of all Cartri,1
1628,577,113189,112898,ges specified in that purchase Medica must store up to three Nephros product samples from each sterilization lot for the purpose of potent,Nephros may order for delivery in any given Quarter an aggregate quantity of Cartridge not exceeding 110% of the Final Forecast Quantity.,1
1629,577,112904,113190,Medica may not reject any purchase order that complies with the provisions of this Article 3.,"al clinical or regulatory investigations. With respect to its costs, obligations, and per",1
1630,577,113002,113191,"After filing a response with any Governmental Authority, Medica shall within 5 Business Days notify Nephros of any further contacts with that Governmental Authority with respect to that response.","ormance under this agreement, Medica is not obliged to maintain records. Nephros may delay for at most three days the delivery of any Cartridges after a previous postponed delivery. Medica shall with",1
1631,577,112995,113192,"(b) Nephros shall at its cost obtain and maintain productliability insurance coverage in the amount of $5,000,000 in relation to the Cartridge.","n 20 Business Days provide Nephros written confirmation that they have complied with the foregoing obligation, when requested from Nephros. N",1
1632,577,113008,113193,"Medica shall also maintain records with respect to its costs, obligations, and performance under this agreement.",phros shall not reject any Cartridge that does not meet the Specification or comply with this agreement until it is ,1
1633,577,112890,113194,Nephros may revise in any subsequent Rolling Forecast the forecast for any other month in any Rolling Forecast.,ested.,1
1642,579,113790,113806,Customer will be responsible for restocking charges or freight cost incurred in connection with Dead Inventory.,Customer may be responsible for restocking charges or freight cost incurred in connection with Dead Inventory.,1
1643,579,113625,113807,"Should Customer request the use of a ""loaner"" truck, USF will make reasonable efforts to accommodate supplying a truck for special occasions.","Should Customer request the use of a ""loaner"" truck, USF will not make reasonable efforts to accommodate supplying a truck for special occasions.",1
1644,579,113559,113808,Customer will notify USF at least [***] days in advance of special promotions that may cause unusual or excessive demand on inventory.,Customer may notify USF at least [***] days in advance of special promotions that may cause unusual or excessive demand on inventory.,1
1645,579,113592,113809,Customer will be required to complete the New Product/Special Order Notification and Agreement attached hereto as ATTACHMENT B for all Proprietary Products.,Customer will not be required to complete the New Product/Special Order Notification and Agreement attached hereto as ATTACHMENT B for all Proprietary Products.,1
1646,579,113775,113811,USF may assign any accounts receivable due from Customer hereunder to any third party.,USF may not assign any accounts receivable due from Customer hereunder to any third party.,1
1647,579,113684,113812,"Customer shall make weekly payments via wire transfer on the following Thursday, for the sales of the Applicable Sales Period that ended approximately oneweek prior.","Customer shall not make weekly payments via wire transfer on the following Thursday, for the sales of the Applicable Sales Period that ended approximately oneweek prior.",1
1648,579,113639,113813,The price of product to Customer shall equal USF's invoice cost (as hereinafter defined) plus the agreed upon fee per case on cost as outlined below.,The price of product to Customer may equal USF's invoice cost (as hereinafter defined) plus the agreed upon fee per case on cost as outlined below.,1
1649,579,113610,113814,USF agrees regular deliveries will not be made between the hours of 11:00 am and 2:00 pm with the exception of recoveries and offcycles.,USF agrees regular deliveries may be made between the hours of 11:00 am and 2:00 pm with the exception of recoveries and offcycles.,1
1650,579,113601,113815,Customer shall make arrangements through USF order department for any goods to be returned to USF.,Customer shall not make arrangements through USF order department for any goods to be returned to USF.,1
1651,581,114147,114402,Sponsor shall use best efforts to respond in writing to such Change Order promptly.,Sponsor must not use best efforts to respond in writing to such Change Order promptly.,1
1652,581,114375,114404,CBSI will retain the originals in its archives.,CBSI may retain the originals in its archives.,1
1653,582,114415,114548,AorTech shall use only approved suppliers listed on AorTech's approved supplier list when purchasing such material.,AorTech may use unapproved suppliers listed on AorTech's unapproved supplier list when purchasing such material.,1
1654,582,114434,114549,"AorTech will return materials to suppliers for credit, less restocking fees, when appropriate.","AorTech may return materials to suppliers for credit, less restocking fees, when appropriate.",1
1655,583,114583,114706,"If requested by Purchaser, 7UP/RC shall provide Purchaser with suitable evidence establishing that a cost increase did occur.","If requested by Purchaser, 7UP/RC shall not provide Purchaser with suitable evidence establishing that a cost increase did occur.",1
